SampleMM,SiO2,Al2O3,Fe2O3,TiO2,P2O5,MgO,K2O,CaO,Na2O,Cr2O3,TOT/C,TOT/S,Zr,Ba,Be,Ce,Co,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,LOI,Lu,Nb,Nd,Pr,Rb,Sc,Sm,Sn,Sr,Sum,Ta,Tb,Th,Tm,U,V,W,Y,Yb,As,Au,Bi,Cd,Cu,Hg,Mo,Ni,Pb,Sb,Se,Zn
AM.P1,8.714,6.952,49.902,0.546,0.688,0.024,0.0339999999999999,0.03,0.012,0.0078,13.866,0.07,125.9,21.2,1.4,37.4,0.76,0.12,1.712,1.062,0.506,11.5,2.04,3.48,0.34,19.9,33.04,0.152,9.9,13.3,3.73,1.6,6.4,2.316,1.8,6.88,99.938,0.6799999999999999,0.302,9.04,0.144,1.54,74.0,1.86,9.1,1.042,1.84,0.5,0.3,0.14,25.96,0.22,3.68,5.88,13.92,0.1,3.96,37.2
AM.P2,12.91,7.550000000000001,41.22666666666667,0.6333333333333333,0.6699999999999999,0.0366666666666666,0.0466666666666666,0.0366666666666666,0.0166666666666666,0.0083333333333333,16.93666666666667,0.1166666666666666,158.1333333333334,36.66666666666666,1.0,39.26666666666667,0.8666666666666667,0.1,1.833333333333333,1.11,0.5333333333333333,12.26666666666667,2.093333333333333,4.133333333333334,0.3766666666666666,21.36666666666666,36.8,0.1633333333333333,11.36666666666667,14.43333333333333,4.003333333333333,2.0,6.666666666666667,2.473333333333333,2.0,7.766666666666667,99.93,0.9,0.31,9.8,0.1633333333333333,1.7,78.66666666666667,1.466666666666667,9.933333333333334,1.16,1.4,0.7000000000000001,0.3,0.1333333333333333,29.06666666666666,0.2633333333333333,3.433333333333334,7.233333333333333,13.96666666666667,0.1,4.7,45.0
TI.P1,5.046666666666667,1.7,3.4,0.1066666666666666,0.1233333333333333,0.02,0.02,0.0266666666666666,0.01,0.0023333333333333,51.34666666666666,0.1633333333333333,28.66666666666667,8.0,1.0,9.466666666666669,0.5333333333333333,0.1,0.4333333333333333,0.2366666666666666,0.13,3.166666666666667,0.57,0.6999999999999998,0.08,4.8,89.53333333333335,0.03,1.733333333333333,3.566666666666666,0.9833333333333334,0.6333333333333333,1.333333333333333,0.6933333333333334,1.0,2.5,99.99,0.1,0.0766666666666666,2.2,0.0333333333333333,0.2333333333333333,23.33333333333333,0.6666666666666666,3.0,0.2166666666666666,0.5,2.166666666666667,0.1,0.1,11.2,0.27,0.7333333333333334,2.933333333333334,3.966666666666665,0.1,4.933333333333334,11.66666666666667
TI.P2,3.8425,4.3125,39.905,0.305,0.3875,0.01,0.0275,0.0225,0.01,0.00575,26.0725,0.085,69.25,12.75,1.0,21.075,0.8,0.1,0.9625,0.525,0.31,6.2,1.1575,1.675,0.2025,10.975,51.1,0.0875,4.175,7.949999999999999,2.1975,1.075,5.75,1.32,1.0,3.925,99.965,0.2249999999999999,0.175,4.975,0.08,0.8,51.5,0.95,6.25,0.495,0.55,3.45,0.275,0.2,29.575,0.22,1.65,5.525,8.425,0.1,5.375,39.75
TI.P3,4.613333333333333,4.56,41.18,0.3166666666666666,0.3966666666666666,0.01,0.03,0.0266666666666666,0.01,0.0063333333333333,24.01333333333333,0.0633333333333333,75.0,15.0,1.666666666666667,20.83333333333333,1.1,0.1,0.94,0.5499999999999999,0.2833333333333333,7.800000000000001,1.233333333333333,2.0,0.1833333333333333,10.36666666666667,48.8,0.0833333333333333,5.0,7.833333333333333,2.19,1.033333333333333,5.666666666666667,1.396666666666667,1.0,4.966666666666667,99.96666666666664,0.3666666666666667,0.17,5.166666666666667,0.0833333333333333,0.8333333333333334,57.66666666666666,1.2,5.666666666666667,0.5466666666666667,0.6333333333333333,1.466666666666667,0.3,0.1333333333333333,29.63333333333334,0.2466666666666666,1.733333333333333,5.433333333333334,9.0,0.1,6.100000000000001,47.0
TI.P4,11.145,5.705,42.315,0.4125,0.455,0.0125,0.0375,0.02,0.01,0.007,17.72,0.04,107.5,16.75,1.25,22.475,1.1,0.125,1.1475,0.665,0.3125,8.625,1.29,2.6,0.22,11.3,39.8,0.105,6.375,8.35,2.3875,1.275,6.75,1.4675,1.25,4.7,99.9675,0.525,0.1875,6.325,0.1125,0.8999999999999999,68.0,1.575,6.75,0.6525,1.0,1.125,0.5,0.15,31.6,0.2075,2.325,6.075,10.3,0.125,6.175,59.25
TIA.P1,9.8175,10.8725,37.63,0.98,0.52,0.0275,0.0725,0.0225,0.01,0.012,15.8375,0.06,242.0,32.0,1.25,40.55,1.025,0.25,2.1725,1.3225,0.5725,19.05,2.3075,5.875,0.4325,20.925,39.925,0.2125,15.2,15.425,4.145,2.975,11.75,2.635,2.75,9.4,99.9425,1.2,0.3625,12.275,0.215,1.775,147.0,2.35,13.5,1.4225,1.125,1.0,0.75,0.15,34.175,0.2025,3.525,6.65,21.025,0.2,6.3,33.5
TIA.P2,5.993333333333333,8.63,43.01,0.7000000000000001,0.4933333333333333,0.0133333333333333,0.0466666666666666,0.0233333333333333,0.01,0.01,16.41,0.11,171.6666666666667,17.66666666666667,2.333333333333333,34.1,0.9666666666666668,0.1666666666666666,1.663333333333333,1.043333333333333,0.5033333333333333,16.0,1.9,4.2,0.3566666666666667,17.8,41.0,0.17,11.36666666666667,12.7,3.486666666666667,1.966666666666667,9.333333333333334,2.166666666666667,2.0,6.766666666666667,99.94,0.9,0.2833333333333334,10.33333333333333,0.16,1.533333333333333,123.3333333333333,1.733333333333333,10.33333333333333,1.153333333333333,2.233333333333333,0.9,0.6333333333333333,0.1,30.1,0.1866666666666666,3.133333333333333,4.9,19.4,0.1666666666666666,5.133333333333333,32.0
VI.P1,11.04333333333334,7.456666666666666,46.26,0.7366666666666667,0.6699999999999999,0.22,0.04,0.0433333333333333,0.01,0.0146666666666666,12.73333333333333,0.0833333333333333,201.8,21.33333333333333,1.0,42.43333333333334,1.6,0.1,1.99,1.223333333333333,0.5933333333333334,18.46666666666667,2.386666666666667,5.533333333333334,0.4166666666666667,20.63333333333334,33.4,0.2033333333333333,15.1,15.96666666666667,4.28,2.0,7.666666666666667,2.663333333333334,3.333333333333333,6.533333333333332,99.88333333333333,0.9333333333333332,0.3433333333333333,11.86666666666667,0.1766666666666666,1.9,123.3333333333333,1.966666666666667,12.63333333333333,1.216666666666667,2.533333333333333,5.966666666666668,1.9,0.1,57.73333333333333,0.33,3.566666666666666,10.9,24.96666666666667,0.1,4.833333333333333,54.0
VI.P2,6.135,6.68,60.02,0.555,0.685,0.025,0.03,0.01,0.01,0.0085,6.6525,0.0424999999999999,131.55,10.5,1.0,35.65,0.5,0.1,1.61,0.915,0.4925,13.95,1.82,3.4,0.32,16.925,25.775,0.14,11.4,13.025,3.485,1.25,6.75,2.095,1.75,4.875,99.9025,0.775,0.27,9.325,0.1375,1.475,83.0,1.55,9.225,0.89,4.025,1.15,1.775,0.1,27.05,0.19,3.7,3.95,21.325,0.1,4.325,32.0
